sasija;Znamka vozila;Leto izdelave;Število lastnikov;Barva;Vrsta goriva;Oznaka motorja;Moč;Prostornina;EURO oznaka;Prva registracija;Prve registracija (SI);Status/starost
ZZ1A6GBAA00B62776;TOMOS APN /;2011;1;navaden - MODRA - SREDNJA;Mešanica;TOMOS-G;2 kW;49 ccm;ni podatka;2011-11-17;2011-11-17;Pravna oseba
WBAVU31030KY00870;BMW 320 / TOURING / d;2005;1;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 4;2005-10-21;2015-05-11 UVOŽEN;Pravna oseba
ZAR93900007214813;ALFA ROMEO 159 / SW 1.9 / M-JET;2008;1;kovinski - RJAVA - SREDNJA;None;None;/ kW;/ ccm;EURO 4;2008-09-30;2013-03-28 UVOŽEN;Fizična oseba 34 let
WDB1680331J353125;MERCEDES BENZ A / 160 /;2000;2;kovinski - SIVA - SREDNJA;Bencin;166.960;75 kW;1598 ccm;EURO 3;2000-01-07;2013-11-22 UVOŽEN;Fizična oseba 27 let
VF7YB3MFB12E82074;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF7YC3MFC12F13786;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
L82TAAPJ6A1600186;BAOTIAN ROCKY49-18 / CAMOX;2015;2;kovinski - SIVA - SVETLA;Bencin;1E40QMA;3 kW;49 ccm;ni podatka;2015-07-15;2015-07-15;Fizična oseba 31 let
ZX9350000F0MRA093;MRAK MP 3500 /;None;1;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;ni podatka;2015-05-22;2015-05-22;Pravna oseba
WB10A030XHZ257941;BMW R 1200 / RT;None;1;kovinski - ČRNA - TEMNA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2017-03-29;2017-03-29;Pravna oseba
WB10A5105HZ635132;BMW R 1200 GS /;None;1;kovinski - RJAVA - TEMNA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2017-08-10;2017-08-10;Pravna oseba
WB10A0100FZ160070;BMW R 1200 GS /;None;1;navaden - RDEČA - SREDNJA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2015-03-31;2015-03-31;Pravna oseba
WB10A0106FZ165936;BMW R 1200 GS /;None;1;kovinski - MODRA - TEMNA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2015-04-20;2015-04-20;Pravna oseba
WB10A0102GZ180144;BMW R 1200 GS /;None;1;kovinski - ČRNA - TEMNA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2016-04-06;2016-04-06;Pravna oseba
WB10A0101GZ179938;BMW R 1200 GS /;None;1;navaden - BELA - SVETLA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2016-04-06;2016-04-06;Pravna oseba
WB10A5100HZ622692;BMW R 1200 GS /;None;1;kovinski - ČRNA - TEMNA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2017-03-29;2017-03-29;Pravna oseba
WB10A5106HZ622695;BMW R 1200 GS /;None;1;navaden - BELA - SVETLA;Bencin;122EN;92 kW;1170 ccm;ni podatka;2017-03-29;2017-03-29;Pravna oseba
SHSRE6770AU010417;HONDA CR-V / 2.2 / i-DTEC;2011;1;kovinski - RJAVA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2011-10-14;2011-10-14;Fizična oseba 35 let
JHMCU25809C223471;HONDA ACCORD / 2.4 /;2008;1;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;EURO 4;2008-11-26;2008-11-26;Fizična oseba 53 let
WAUZZZ8P79A006613;AUDI A3 / 1.9 / TDI;2008;1;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 4;2008-07-23;2012-10-18 UVOŽEN;Pravna oseba
SJNFCAJ10U2214078;NISSAN QASHQAI / 1.5 / DCI;2011;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2011-02-15;2013-04-08 UVOŽEN;Pravna oseba
985553;TOMOS None;None;1;None;None;None;/ kW;/ ccm;ni podatka;2002-06-01;None UVOŽEN;45 let
WAUZZZ4F56N076418;AUDI A6 / 2.7 / TDI Q AUT.;2005;1;navaden - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 4;2005-10-25;2009-02-11 UVOŽEN;Pravna oseba
LBMC25D0700032721;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WBADP81090GV53194;BMW 530 / TOURING / d AUT.;2001;1;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 3;2001-07-27;2008-06-23 UVOŽEN;Fizična oseba 32 let
TMBJC7NE9J0079355;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZAPC1100000016798;PIAGGIO PIAGGIO ZIP SP;1998;1;kovinski - MODRA - TEMNA;Bencin;C111M;1 kW;49 ccm;ni podatka;2015-08-29;2015-08-29;Fizična oseba 34 let
VF1BA0W0523502928;RENAULT MEGANE / 1.4;2000;2;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 3;2001-04-04;2001-04-04;Fizična oseba 61 let
WBAUX31020A703751;BMW 320 / TOURING / d;2009;1;kovinski - ČRNA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2009-07-14;2012-10-17 UVOŽEN;Fizična oseba 52 let
WF0HXXWPBHBU82013;FORD Grand C-MAX / 1.6 / TDCi 85 M6;None;1;navaden - BELA - SVETLA;None;None;/ kW;/ ccm;EURO 5;2012-06-22;2012-06-22;Pravna oseba
WVWZZZ3CZEE117635;VOLKSWAGEN PASSAT / VARIANT 2.0 / TDI;None;1;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 5;2014-03-11;2014-03-11;Fizična oseba 29 let
WDD2132041A223426;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1KZ6W054183;VOLKSWAGEN GOLF / 1.9 / TDI;2005;3;navaden - ČRNA - TEMNA;None;None;/ kW;/ ccm;EURO 4;2005-10-13;2009-03-18 UVOŽEN;Fizična oseba 21 let
ZAPM4640000002660;GILERA RUNNER VXR 200 /;2007;5;navaden - ČRNA - SREDNJA;Bencin;M464M;14 kW;198 ccm;ni podatka;2007-05-30;2007-05-30;Fizična oseba 43 let
WVWZZZ3CZBP334618;VOLKSWAGEN PASSAT / 2.0 / TDI AUT.;2011;1;kovinski - RJAVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2011-05-18;2011-05-18;Fizična oseba 45 let
JSTRJ42C5C2100391;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WB10382067ZU76646;BMW R / 1200 / GS;2007;2;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2007-05-09;2007-09-13 UVOŽEN;Fizična oseba 35 let
WVWZZZ1KZ4P058401;VOLKSWAGEN GOLF / 1.9;2004;2;kovinski - ČRNA - TEMNA;None;None;/ kW;/ ccm;EURO 3;2004-05-24;2004-05-24;Fizična oseba 31 let
VF1KZ140650539542;RENAULT MEGANE / GRANDTOUR 1.5 / DCI;None;1;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2014-04-01;2014-04-01;Pravna oseba
VF15R0G0H48987311;RENAULT CLIO / 1.2 / 16V;None;1;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2013-06-17;2013-06-17;Fizična oseba 48 let
WK0S0002400045750;KOEGEL SNCC 24 /;2006;1;navaden - ZELENA - TEMNA;None;None;/ kW;/ ccm;ni podatka;2006-07-13;2010-03-25 UVOŽEN;Pravna oseba
SWNB75000D0067434;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WSM00000003234251;SCHMITZ SCS /;None;1;navaden - SIVA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2015-12-11;2015-12-11;Pravna oseba
WDB9340321L542400;MERCEDES BENZ ACTROS 1844 LS;2011;1;navaden - BELA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2011-03-31;2014-10-06 UVOŽEN;Pravna oseba
WVWZZZAUZEP535633;VOLKSWAGEN GOLF / VARIANT 1.6 / TDI;None;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2014-05-21;2014-05-21;Pravna oseba
WB1053402EZ308851;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1BB0FBF24731952;RENAULT CLIO / 1.2;2001;6;navaden - MODRA - TEMNA;None;None;/ kW;/ ccm;EURO 3;2001-06-22;2001-06-22;Fizična oseba 24 let
LBMC25D0000034486;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF15R5A0H52896851;RENAULT CLIO / 0.9 / TCE;None;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2015-04-24;2015-04-24;Fizična oseba 23 let
VF1BA0E0516829929;RENAULT Renault MEGANE (BA,DA);1997;4;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;EURO 2;1997-11-24;1997-11-24;Fizična oseba 47 let
VF12RDA1H51348687;RENAULT CAPTUR / 0.9 / TCE;None;1;kovinski - RDEČA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2014-11-28;2014-11-28;Fizična oseba 51 let
WF0AXXWPMAEJ60214;FORD KUGA / 2.0 / TDCI 120 A6 4x4;None;1;kovinski - ČRNA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2014-07-08;2014-07-08;Fizična oseba 62 let
WVWZZZ3CZCP020175;VOLKSWAGEN PASSAT / 2.0 / TDI AUT.;2011;1;kovinski - RJAVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2011-09-22;2011-09-22;Fizična oseba 47 let
SJNFBAF15U6003394;NISSAN JUKE / 1.6 / 16V;2010;3;navaden - BELA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2010-12-16;2010-12-16;Pravna oseba
VF1112300C0811026;RENAULT R4 / TLS;1983;3;navaden - BELA - SVETLA;None;None;/ kW;/ ccm;EURO 0;1983-03-07;1983-03-07;Fizična oseba 56 let
TMBEHH613W0846654;ŠKODA FELICIA;None;2;None;None;None;/ kW;/ ccm;ni podatka;1999-04-01;1999-04-14 UVOŽEN;47 let
WBAVW11060A279129;BMW 318 / TOURING / d;2008;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 4;2008-04-24;2012-05-31 UVOŽEN;Fizična oseba 64 let
ZAPC2900000006468;PIAGGIO TYPHOON 50;2002;5;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;ni podatka;2002-08-14;2002-08-14;Fizična oseba 29 let
WV2ZZZ2KZHX129290;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1KZCP124522;VOLKSWAGEN GOLF / 1.2 / TSI;None;1;navaden - BELA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2012-10-11;2012-10-11;Pravna oseba
WVWZZZ1KZ5P048538;VOLKSWAGEN GOLF / 1.9 / TDI;2005;2;navaden - BELA - TEMNA;None;None;/ kW;/ ccm;EURO 3;2005-01-26;2005-01-26;Fizična oseba 50 let
VF7RDRHR8AL572495;CITROEN C5 III / 2.0 / Hdi;2011;2;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 5;2011-01-31;2013-10-24 UVOŽEN;Pravna oseba
LBMC25D0400045314;PIAGGIO ZIP 50 4T / 25 km/h;None;1;navaden - ČRNA - SREDNJA;Bencin;C25DM;1 kW;50 ccm;ni podatka;2017-08-22;2017-08-22;Pravna oseba
WBAPP11080E562288;BMW 320 / / d;2010;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2010-12-06;2014-12-11 UVOŽEN;Fizična oseba 43 let
WVWZZZ3CZCE076641;VOLKSWAGEN PASSAT / VARIANT 2.0 / TDI 4M;None;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2012-06-29;2012-06-29;Fizična oseba 58 let
SWNB2500040001106;NIEWIADOW B 2530 HTP;2004;2;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;ni podatka;2004-08-09;2004-08-09;Fizična oseba 43 let
WBAPR910X0A179324;BMW 330 / / d AUT.;2014;3;kovinski - MODRA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2014-10-09;2014-10-09;Fizična oseba 29 let
WF0AXXGCAASL41577;FORD-D ESCORT / 1.6 ICLX;1995;3;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 1;1995-06-01;1995-06-01;Fizična oseba 31 let
WAUZZZ8V0JA004978;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WUAZZZ4G4GN905222;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WAUZZZ8K8DA122285;AUDI A4 AVANT / 2.0 / TDI;None;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2012-09-14;2016-11-21 UVOŽEN;Pravna oseba
WBAUT310X0F198556;BMW 318 / TOURING / d;2011;1;kovinski - MODRA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2011-12-26;2015-06-16 UVOŽEN;Pravna oseba
ZAPC4610000010685;GILERA RUNNER RST 50 SP /;2007;1;navaden - RDEČA - SREDNJA;Bencin;C451M;3 kW;49 ccm;ni podatka;2007-04-10;2007-04-10;Fizična oseba 54 let
LBMC25D0800011795;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
861309;IVO LOLA RIBAR ILR 1000;None;2;None;None;None;/ kW;/ ccm;ni podatka;1993-01-01;1993-01-25 UVOŽEN;49 let
WAUZZZ8E15A433083;AUDI A4 / AVANT 2.5 / TDI;2005;3;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 4;2005-01-12;2009-02-18 UVOŽEN;Fizična oseba 52 let
WDD2193221A083650;MERCEDES BENZ CLS / 320 / CDI;2007;3;kovinski - SIVA - SREDNJA;Dizel;642.920;165 kW;2987 ccm;EURO 4;2007-01-25;2007-01-25;Fizična oseba 31 let
VF15R040H50146917;RENAULT CLIO / 1.5 / DCI;None;1;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2013-12-06;2013-12-06;Pravna oseba
C6E1T/9443;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
JYASJ091000004162;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1KZ6W120635;VOLKSWAGEN GOLF / 1.9 / TDI;2006;2;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 4;2006-07-04;2006-07-04;Fizična oseba 43 let
WVWZZZ3CZEE020907;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
H013075016H001525;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZZ1A6GBBA00E74004;TOMOS APN /;None;1;navaden - MODRA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2014-09-05;2014-09-05;Fizična oseba 75 let
CXM1T0014389;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
LZXXCAL1980241477;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
L82TCAPM9D1001128;BAOTIAN BT49QT-21 /;None;1;kovinski - BELA - SREDNJA;Bencin;BT139QMA;2 kW;49 ccm;ni podatka;2017-07-18;2017-07-18;Fizična oseba 20 let
L5YAUCZB0G1143574;ZNEN ZN50QT-30A /;None;1;navaden - BELA - SVETLA;Bencin;BN139QMB;1 kW;49 ccm;ni podatka;2017-05-11;2017-05-11;Fizična oseba 26 let
VF1C57J0E16326327;RENAULT CLIO / 1.4;1997;4;kovinski - MODRA - TEMNA;None;None;/ kW;/ ccm;EURO 2;1997-06-09;2005-07-11 UVOŽEN;Fizična oseba 58 let
WAUZZZ8P07A123589;AUDI A3 / 1.9 / TDI;2006;2;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 4;2006-12-14;2006-12-14;Fizična oseba 71 let
ZAPC4610000059148;GILERA RUNNER RST 50 SP /;None;1;navaden - ORANŽNA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2012-08-30;2012-08-30;Fizična oseba 43 let
ZAPC1400003025975;PIAGGIO GILERA RUNNER 50;1999;4;navaden - RDEČA - SVETLA;Bencin;C141M;2 kW;49 ccm;ni podatka;2002-06-01;2002-06-01;Fizična oseba 33 let
WBAWY310X0L885533;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
1030854;PIAGGIO CIAO;1987;1;navaden - RDEČA - SREDNJA;Mešanica;C1M;1 kW;49 ccm;ni podatka;2017-07-04;2017-07-04;Fizična oseba 21 let
ZZ1A24DAA00946497;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZD3T2002080000566;BETA MOTOR ALP 4.0 /;2013;3;navaden - SIVA - SREDNJA;Bencin;K404;20 kW;349 ccm;ni podatka;2013-07-25;2013-07-25;Fizična oseba 43 let
ZD4RLD1004S028075;APRILIA SR 50;2004;4;navaden - BELA - SREDNJA;Bencin;L01;5 kW;49 ccm;ni podatka;2005-06-17;2005-06-17;Fizična oseba 37 let
VBKJGJ40XDC214335;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZAPM3420000007704;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
L82TCAPL9H1200225;BAOTIAN BT49QT-20B /;None;1;kovinski - ČRNA - SREDNJA;Bencin;BT139QMA;2 kW;49 ccm;ni podatka;2017-04-12;2017-04-12;Fizična oseba 24 let
ZD4VFD0047S016944;APRILIA SR 50 R /;2007;1;navaden - RUMENA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2007-07-20;2007-07-20;Fizična oseba 47 let
U5GV06506Y1006506;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZY2000AB6S3020531;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1KZ0R0252505009;RENAULT MEGANE / GRANDTOUR 1.5 / DCI;None;1;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2015-03-18;2015-03-18;Pravna oseba
VG5SA03E000007439;YAMAHA YH 50 /;2013;1;navaden - VIJOLIČNA - TEMNA;None;None;/ kW;/ ccm;ni podatka;2013-07-11;2013-07-11;Fizična oseba 55 let
WBANY71060CT72301;BMW 530 / XD AUT.;2009;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 4;2009-07-16;2009-07-16;Fizična oseba 48 let
WBAPX31030C251536;BMW 520 / TOURING / d;2010;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2010-01-15;2015-03-07 UVOŽEN;Pravna oseba
102H00176;HEINEMANN BA 102 B;None;1;None;None;None;/ kW;/ ccm;ni podatka;1989-06-26;2010-04-20 UVOŽEN;40 let
VF1JZ110652318498;RENAULT SCENIC / 1.2 / 16V;None;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2015-02-05;2015-02-05;Fizična oseba 40 let
WB10303068ZU19025;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
L82TCAP97F1204484;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF15R0G0H49315788;RENAULT CLIO / 1.2 / 16V;None;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2013-11-22;2013-11-22;Fizična oseba 49 let
TMBAE73T6C9037039;ŠKODA SUPERB / 2.0 / TDI;None;1;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2012-03-30;2012-03-30;Pravna oseba
VG5SA144000053367;YAMAHA YAMAHA / YQ 50 /;2004;2;navaden - ČRNA - SREDNJA;Bencin;A123E;2 kW;49 ccm;ni podatka;2004-07-20;2004-07-20;Fizična oseba 28 let
WAUZZZ8K6CA002306;AUDI A4 AVANT / 2.0 / TDI V-AUT.;None;1;kovinski - MODRA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2011-08-22;2016-03-02 UVOŽEN;Fizična oseba 52 let
VF15R5A0H52742187;RENAULT CLIO / 0.9 / TCE;None;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2015-04-01;2015-04-01;Pravna oseba
VF1BZ0R0250710562;RENAULT MEGANE / 1.5 / DCI;None;1;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2014-04-24;2014-04-24;Pravna oseba
VF7233J4215535120;CITROEN JUMPER 35 LH 2.5 TDI;1998;2;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 2;1998-05-25;1998-05-25;Fizična oseba 43 let
ZD4RLA100YS108116;APRILIA SR 50;2000;2;navaden - ČRNA - TEMNA;Bencin;L02;3 kW;49 ccm;ni podatka;2002-04-09;2002-04-09;Fizična oseba 61 let
VGAS1B0KB00013690;PEUGEOT SPEEDFIGHT;2000;1;navaden - RDEČA - SREDNJA;Bencin;FL1;4 kW;49 ccm;ni podatka;2002-04-10;2002-04-10;Fizična oseba 66 let
ZAPC2700000004377;GILERA DNA 50;2000;3;navaden - RUMENA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2002-10-09;2002-10-09;Fizična oseba 20 let
WBAFF41000L054571;BMW X5 / 3.0 / D;2007;3;kovinski - ČRNA - TEMNA;None;None;/ kW;/ ccm;EURO 4;2007-10-24;2007-10-24;Fizična oseba 58 let
0037299;PIAGGIO SFERA QUARTZ 50;1994;1;kovinski - RDEČA - TEMNA;None;None;/ kW;/ ccm;ni podatka;2009-06-09;2009-06-09;Fizična oseba 35 let
WB10B050XEZ301197;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
21001118070;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WB1045002AZX13316;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VBKLDT409CM744494;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZD4MZB100XS006852;APRILIA SR 50 /;1999;2;navaden - RDEČA - SVETLA;Mešanica;6MAAP;1 kW;49 ccm;ni podatka;2002-03-21;2002-03-21;Fizična oseba 29 let
360715;TOMOS APN 6;1986;2;kovinski - MODRA - SREDNJA;Bencin;360715;2 kW;49 ccm;ni podatka;2015-08-20;2015-08-20;Fizična oseba 52 let
VBKLSS4099M725498;KTM 690 SMC /;2009;3;navaden - ORANŽNA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2009-06-08;2009-06-08;Fizična oseba 25 let
8835;ZETOR 5011;1982;1;navaden - RDEČA - SREDNJA;Dizel;5001;37 kW;2542 ccm;ni podatka;1983-08-04;1983-08-04;Fizična oseba 65 let
LJLTABH18E3E01732;TAURIS FUEGO 50 /;None;1;navaden - BELA - SREDNJA;Bencin;1PE40QMB;2 kW;49 ccm;ni podatka;2017-04-29;2017-04-29;Fizična oseba 48 let
ZAPC1800003014714;PIAGGIO NRG MC 2;1998;3;navaden - MODRA - SREDNJA;Bencin;C141M;2 kW;49 ccm;ni podatka;2005-06-27;2005-06-27;Fizična oseba 17 let
LL8ADF4Y5G0A00023;LINHAI LH500ATV / M550i;None;1;navaden - ČRNA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2016-04-26;2016-04-26;Fizična oseba 21 let
LBMC25D0700026658;PIAGGIO ZIP 25 4T /;2017;1;navaden - ČRNA - SREDNJA;Bencin;C25DM;1 kW;50 ccm;ni podatka;2017-07-11;2017-07-11;Fizična oseba 17 let
458685;TOMOS APN 6;1997;1;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2002-04-24;2002-04-24;Fizična oseba 80 let
ZAPM0700000011029;GILERA RUNNER 125 /;1998;2;navaden - ČRNA - SREDNJA;Mešanica;M071M;10 kW;124 ccm;ni podatka;1998-06-19;2012-04-24 UVOŽEN;Fizična oseba 20 let
WVWZZZAUZDW085169;VOLKSWAGEN GOLF / 1.6 / TDI;None;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2013-02-21;2013-02-21;Fizična oseba 47 let
LX6TCAP9871008275;BAOTIAN BT49QT-9 /;2007;2;kovinski - RDEČA - TEMNA;None;None;/ kW;/ ccm;ni podatka;2007-05-17;2015-05-28 UVOŽEN;Fizična oseba 48 let
846903;TOMOS A 35-2A;1992;3;navaden - RDEČA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2002-04-30;2002-04-30;Fizična oseba 25 let
VF36D9HZC21708780;PEUGEOT 407 / 1.6 / HDI;2008;1;kovinski - ČRNA - TEMNA;None;None;/ kW;/ ccm;EURO 4;2008-01-30;2012-01-25 UVOŽEN;Pravna oseba
RFTJP45AW2L526384;C.P.I. POPCORN 45;2002;5;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2002-07-29;2002-07-29;Fizična oseba 56 let
VBKDUN4055M795073;KTM DUKE II /;2006;3;navaden - ČRNA - SREDNJA;Bencin;584;40 kW;625 ccm;ni podatka;2006-07-07;2006-07-07;Fizična oseba 38 let
001P54FMI14E20300;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
TSYTABMN28B354393;KEEWAY MATRIX /;2008;3;navaden - RDEČA - TEMNA;None;None;/ kW;/ ccm;ni podatka;2008-09-10;2008-09-10;Fizična oseba 26 let
RFGBL05WX7S023684;SYM JET EURO X /;2007;3;kovinski - SIVA - SVETLA;Bencin;BC;2 kW;49 ccm;ni podatka;2007-08-06;2007-08-06;Fizična oseba 51 let
VG5DE072000001499;YAMAHA WR125X /;2009;1;navaden - MODRA - TEMNA;None;None;/ kW;/ ccm;ni podatka;2009-10-01;2009-10-01;Fizična oseba 46 let
VF15R0G0H51638978;RENAULT CLIO / 1.2 / 16V;None;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2015-03-16;2015-03-16;Fizična oseba 41 let
773252;TOMOS COLIBRI A / OS;1972;2;navaden - RDEČA - SREDNJA;Mešanica;773252;1 kW;49 ccm;ni podatka;1972-12-31;2012-04-25 UVOŽEN;Fizična oseba 43 let
L4HGABBP7F6000008;LONGJIA GRIDO /;None;1;navaden - BELA - SVETLA;None;None;/ kW;/ ccm;ni podatka;2017-06-05;2017-06-05;Fizična oseba 40 let
JH2PC35F53M400337;HONDA CBR 600;2003;5;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;ni podatka;2005-04-26;2005-04-26;Fizična oseba 33 let
252894;URSUS C 335;1985;17;kovinski - MODRA - SREDNJA;Mešanica;IMTGP19782;36 kW;2500 ccm;ni podatka;1987-05-20;1987-05-20;Fizična oseba 56 let
WBAUT31060A882257;BMW 318 / TOURING / d;2010;1;navaden - BELA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2010-09-07;2014-04-24 UVOŽEN;Fizična oseba 26 let
SXEBNAJPC5S000033;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF15R5A0H52278596;RENAULT CLIO / 0.9 / TCE;None;1;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2015-01-30;2015-01-30;Fizična oseba 30 let
WDB9340321L568920;MERCEDES BENZ ACTROS 1846 LS-18 / EEV;2011;1;navaden - BELA - SVETLA;None;None;/ kW;/ ccm;EURO 5;2011-06-23;2011-06-23;Pravna oseba
WSM00000003271378;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1JA050527773852;RENAULT SCENIC / 1.9;2002;3;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;EURO 4;2006-01-18;2006-01-18;Fizična oseba 22 let
