"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"MERCEDES BENZ", "ACTROS", "MBS844R", "WDB9321411L148072", "NAVADEN - BELA", "13.04.2012"
"PEUGEOT", "BOXER", "LJUN417", "VF3YCDMFC11604232", "NAVADEN - BELA", "12.04.2012"
"BMW", "X5", "GOF7990", "WBAFF410X0L129955", "KOVINSKI - ČRNA", "12.04.2012"
"DUCATI", "", "LJGD69", "ZDMF100AA9B002575", "NAVADEN - RDEČA", "12.04.2012"
"YAMAHA", "DT 50", "LJS3161", "1JY012249", "NAVADEN - BELA", "12.04.2012"
"ŠKODA", "OCTAVIA COMBI", "LJ372AN", "TMBKS21Z368075345", "KOVINSKI - SIVA", "12.04.2012"
"RENAULT", "CLIO", "LJN017A", "VF1BBR8EF31362860", "KOVINSKI - ORANŽNA", "12.04.2012"
"RENAULT", "CLIO", "LJNR586", "VF1BBR8EF31590870", "KOVINSKI - MODRA", "11.04.2012"
"OPEL", "VIVARO", "GL88PAU", "W0LJ7ACA62V626232", "NAVADEN - BELA", "11.04.2012"
"MERCEDES BENZ", "", "LJ246AX", "WDB9340321K874966", "NAVADEN - MODRA", "11.04.2012"
"SEAT", "LEON", "LJPH309", "VSSZZZ1PZ6R042517", "KOVINSKI - ČRNA", "10.04.2012"
"VOLKSWAGEN", "GOLF", "LJJF499", "WVWZZZ1KZ8P091471", "KOVINSKI - SIVA", "10.04.2012"
"PIAGGIO", "GILERA RUNNER 50", "MBNT41", "ZAPC1400003061557", "KOVINSKI - MODRA", "10.04.2012"
"VOLKSWAGEN", "GOLF", "LJUL466", "WVWZZZ1KZ5P077151", "KOVINSKI - SIVA", "10.04.2012"
"VOLKSWAGEN", "PASSAT", "NMRH784", "WVWZZZ3CZ9E086687", "KOVINSKI - RJAVA", "10.04.2012"
"OPEL", "VSI TIPI", "MBCM553", "W0LJ7BHB6BV619983", "KOVINSKI - SIVA", "10.04.2012"
"TOMOS", "A", "KRVP22", "ZZ1B7YRAB00626433", "NAVADEN - ČRNA", "06.04.2012"
"VOLKSWAGEN", "GOLF", "GO6975D", "WVWZZZ1JZXW198746", "KOVINSKI - SIVA", "05.04.2012"
"PEUGEOT", "", "GOF7661", "VF33CRHYB82938205", "KOVINSKI - SIVA", "05.04.2012"
"RENAULT", "MEGANE GRANDTOUR", "LJVM470", "VF1KZ1G0644347999", "NAVADEN - BELA", "04.04.2012"
"FORD", "FOCUS", "LJEZ553", "WF0PXXWPDPBL71530", "KOVINSKI - SIVA", "04.04.2012"
"RENAULT", "MEGANE", "NMHR404", "VF1KMSEC638745554", "KOVINSKI - SIVA", "03.04.2012"
"RENAULT", "MEGANE GRANDTOUR", "NMKJ731", "VF1KZ5G0646551202", "KOVINSKI - SIVA", "03.04.2012"
"HONDA", "SERIJA CB", "LJPR99", "ZDCPC41C08F053037", "NAVADEN - ČRNA", "03.04.2012"
"BMW", "OSTALI TIPI", "MBDS741", "WBAEA51080CV55983", "KOVINSKI - SIVA", "02.04.2012"
"VOLKSWAGEN", "GOLF", "LJHP254", "WVWZZZ1KZAW304957", "NAVADEN - BELA", "02.04.2012"
"DAELIM", "", "KRF4155", "KMYSE1B4S2K004797", "KOVINSKI - SIVA", "02.04.2012"
"RENAULT", "MEGANE GRANDTOUR", "LJCT443", "VF1KMSEC639968144", "KOVINSKI - SIVA", "02.04.2012"
"MERCEDES BENZ", "ACTROS", "MBMR771", "WDB9331625L018593", "NAVADEN - BELA", "02.04.2012"
"RENAULT", "KANGOO", "KR1275U", "VF1KW0BB539602070", "KOVINSKI - SIVA", "30.03.2012"
"RENAULT", "CLIO", "LJLV203", "VF1CB080F29893906", "KOVINSKI - MODRA", "30.03.2012"
"VOLKSWAGEN", "GOLF", "LJKJ778", "WVWZZZ1KZ9M258692", "KOVINSKI - MODRA", "30.03.2012"
"HONDA", "", "BREZ", "JH2SC57A86M206669", "NAVADEN - RDEČA", "29.03.2012"
"SEAT", "CORDOBA", "CEDP540", "VSSZZZ6KZVR040378", "NAVADEN - RDEČA", "29.03.2012"
"BMW", "SERIJA 6", "MBZP036", "WBAFH61080L485262", "KOVINSKI - SIVA", "29.03.2012"
"MERCEDES BENZ", "E 350 CDI 4MATIC BLUEFFICIENCY", "CERP960", "WDD2120251A006054", "KOVINSKI - RJAVA", "28.03.2012"
"MERCEDES BENZ", "ACTROS", "LJEE908", "WDB9333141L276005", "NAVADEN - ORANŽNA", "28.03.2012"
"TOMOS", "APN 6", "CEU2512", "476376", "KOVINSKI - SIVA", "27.03.2012"
"RENAULT", "CLIO", "LJU889X", "VF1BB2T0531741893", "KOVINSKI - MODRA", "27.03.2012"
"RENAULT", "CLIO", "LJ796JH", "VF1SBR9EF32593686", "NAVADEN - BELA", "27.03.2012"
"AUDI", "A 3", "CEKU782", "WAUZZZ8PX5A139358", "KOVINSKI - SIVA", "27.03.2012"
"BMW", "120", "LJCZ434", "WBAUR31030VF11812", "NAVADEN - BELA", "27.03.2012"
"VOLKSWAGEN", "TOURAN", "LJCH215", "WVGZZZ1TZ5W041071", "KOVINSKI - ČRNA", "27.03.2012"
"VOLKSWAGEN", "TRANSPORTER", "LJ601FT", "WV2ZZZ7HZ8H046119", "NAVADEN - BELA", "26.03.2012"
"ŠKODA", "OCTAVIA COMBI", "KRFS758", "TMBGS21Z582232093", "KOVINSKI - RJAVA", "26.03.2012"
"HONDA", "JAZZ", "SGE4880", "JHMGD17505S231841", "KOVINSKI - ČRNA", "22.03.2012"
"ROVER", "414", "NMNP864", "SARRTSWHNWD346131", "KOVINSKI - MODRA", "21.03.2012"
"MITSUBISHI", "PAJERO", "MBC385T", "JMP0NH66WYX003658", "KOVINSKI - SIVA", "20.03.2012"
"VOLKSWAGEN", "GOLF", "LJ7892X", "WVWZZZ1KZ4W068289", "KOVINSKI - RJAVA", "20.03.2012"
"RENAULT", "CLIO", "LJMM595", "VF1BBCU0535972144", "KOVINSKI - SIVA", "20.03.2012"
"VOLKSWAGEN", "GOLF", "LJDF714", "WVWZZZ1KZ9P014831", "KOVINSKI - SIVA", "20.03.2012"
"RENAULT", "MEGANE", "NMNF439", "VF1BZ1U0644239426", "KOVINSKI - ČRNA", "19.03.2012"
"CITROEN", "ZX", "GO2802M", "VF7N2A90006A90068", "KOVINSKI - ZELENA", "19.03.2012"
"RENAULT", "MEGANE GRANDTOUR", "NMRA807", "VF1KZ1G0644318399", "KOVINSKI - SIVA", "16.03.2012"
"RENAULT", "CLIO", "KRZE199", "VF1BBCU0538068337", "KOVINSKI - ČRNA", "15.03.2012"
"RENAULT", "CLIO", "KRDP012", "VF1BBR8EF31157883", "KOVINSKI - SIVA", "15.03.2012"
"VOLKSWAGEN", "POLO", "KRV6326", "WVWZZZ9NZ5Y065308", "NAVADEN - RDEČA", "15.03.2012"
"RENAULT", "CLIO", "NMG1851", "VF1BB080F29467393", "KOVINSKI - MODRA", "14.03.2012"
"MERCEDES BENZ", "ACTROS", "000", "WDB9340321K816619", "KOVINSKI - SIVA", "14.03.2012"
"VOLKSWAGEN", "GOLF", "LJDR253", "WVWZZZ1KZ9W136368", "KOVINSKI - ČRNA", "13.03.2012"
"CITROEN", "C2", "GO4103E", "VF7JMKFVB97019722", "KOVINSKI - SIVA", "13.03.2012"
"BMW", "X5 M", "LJCA870", "WBAFF41010L106760", "KOVINSKI - ČRNA", "13.03.2012"
"JONWAY", "VSI TIPI", "CEGU09", "ZJKCB12A57Y010011", "NAVADEN - ZELENA", "12.03.2012"
"PEUGEOT", "407", "GOL2507", "VF36D9HZC21357026", "KOVINSKI - BELA", "12.03.2012"
"OPEL", "VIVARO 1 9", "", "W0LF7ACA63V618470", "NAVADEN - BELA", "12.03.2012"
"DAF", "VSI TIPI", "MBV886Z", "XLRTE47MS0E777078", "NAVADEN - BELA", "09.03.2012"
"RENAULT", "MEGANE GRANDTOUR", "KRDH939", "VF1KMSE0636061650", "KOVINSKI - SIVA", "09.03.2012"
"BRENDERUP", "VSI TIPI", "YZ3712", "392584", "KOVINSKI - SIVA", "09.03.2012"
"RENAULT", "MEGANE", "NM2056F", "VF1BMRF0532266481", "KOVINSKI - ZELENA", "09.03.2012"
"AUDI", "A 3 SPORTBACK", "LJFD578", "WAUZZZ8P08A023655", "NAVADEN - BELA", "09.03.2012"
"AUDI", "Q7", "LJ820VG", "WAUZZZ4L07D084441", "KOVINSKI - ČRNA", "08.03.2012"
"RENAULT", "TWINGO", "LJAT160", "VF1CN0R0541263402", "KOVINSKI - MODRA", "08.03.2012"
"FIAT", "GRANDE PUNTO", "", "ZFA19900000559814", "NAVADEN - BELA", "08.03.2012"
"YAMAHA", "AEROX 50", "NMD1933", "VG55BR00001114108", "", "07.03.2012"
"OPEL", "VIVARO", "CES251E", "W0LF7AHA67V642302", "NAVADEN - BELA", "07.03.2012"
"BMW", "645", "GOV1414", "WBAEH71090B292187", "KOVINSKI - ČRNA", "07.03.2012"
"VOLKSWAGEN", "GOLF", "LJ147AH", "WVWZZZ1KZ6P006680", "KOVINSKI - SIVA", "06.03.2012"
"RENAULT", "SCENIC", "LJAT391", "VF1JZ1S0645626668", "KOVINSKI - ČRNA", "05.03.2012"
"VOLKSWAGEN", "GOLF", "CEZ596S", "WVWZZZ1KZ7W234224", "KOVINSKI - SIVA", "05.03.2012"
"AUDI", "A 6", "LJFP786", "WAUZZZ4F37N045976", "KOVINSKI - SIVA", "05.03.2012"
"BMW", "X5", "CEMH580", "WBAZW41070L433791", "KOVINSKI - ČRNA", "05.03.2012"
"RENAULT", "CLIO", "LJ844HD", "VF1BB080F26594096", "NAVADEN - RDEČA", "05.03.2012"
"GILERA", "RUNNER RST 50 SP", "CEEC52", "ZAPC4610000036565", "NAVADEN - RDEČA", "02.03.2012"
"RENAULT", "CLIO", "KK9919E", "VF1BB07CF28947088", "KOVINSKI - MODRA", "02.03.2012"
"UNIS", "GOLF", "LJV8874", "WVWZZZ1GZKW173841", "NAVADEN - RDEČA", "02.03.2012"
"HONDA", "SERIJA C", "", "JH2ME10AX4M001888", "NAVADEN - BELA", "29.02.2012"
"RENAULT", "TRAFIC", "KP9987V", "VF1TBXG0514621746", "NAVADEN - SIVA", "29.02.2012"
"AUDI", "A 3", "LJ600NG", "WAUZZZ8P94A154268", "KOVINSKI - MODRA", "28.02.2012"
"OPEL", "INSIGNIA", "LJER144", "W0LGT8EL9C1015620", "KOVINSKI - SIVA", "28.02.2012"
"VOLKSWAGEN", "", "LJY096C", "WVWZZZ1JZYW339691", "KOVINSKI - SIVA", "28.02.2012"
"BMW", "730", "CEUL784", "WBAHM21090DS71615", "KOVINSKI - MODRA", "28.02.2012"
"KOEGEL", "VSI TIPI", "KRFE961", "WK0S0002400141399", "NAVADEN - ČRNA", "28.02.2012"
"KRONE", "VSI TIPI", "488AMB", "WKESD000000363632", "NAVADEN - BELA", "27.02.2012"
"BMW", "X5", "CEKP773", "WBAZW41000LL42748", "KOVINSKI - SIVA", "27.02.2012"
"SEAT", "IBIZA", "LJPR353", "VSSZZZ6LZ3R218900", "KOVINSKI - SIVA", "27.02.2012"
"TOMOS", "APN 6", "LJJH56", "462234", "NAVADEN - RDEČA", "27.02.2012"
"RENAULT", "KANGOO", "KR7016Z", "VF1KW0BB539605392", "KOVINSKI - SIVA", "27.02.2012"
"BMW", "X5", "KPUL775", "WBAZW41020L437912", "KOVINSKI - SIVA", "25.02.2012"
"BMW", "X5", "MZL765", "WBAFF410X0L114548", "KOVINSKI - SIVA", "24.02.2012"
"ČELIK ITION", "VSI TIPI", "", "W0930900031R12504", "KOVINSKA KREM BEŽ DRAP", "24.02.2012"
"CITROEN", "BERLINGO", "CECS760", "VF77J9HZC9J298638", "KOVINSKI - SIVA", "24.02.2012"
"BASHAN", "ATV200S-7", "LJS04S", "LHJSNM7078B001282", "NAVADEN - RDEČA", "23.02.2012"
"OPEL", "ASTRA", "LJBP733", "W0L0AHL3572116786", "KOVINSKI - ČRNA", "22.02.2012"
"BMW", "M3", "LJKE871", "WBSWD910X0PY30471", "NAVADEN - BELA", "22.02.2012"
"VOLKSWAGEN", "TRANSPORTER", "LJU0998", "WV2ZZZ70Z2H116520", "KOVINSKI - SIVA", "21.02.2012"
"RENAULT", "MEGANE GRANDTOUR", "LJPK570", "VF1KZ1S0645690417", "NAVADEN - BELA", "21.02.2012"
"RENAULT", "CLIO", "", "VF1357K0F16038621", "KOVINSKI - RDEČA", "21.02.2012"
"BMW", "530", "LJTN633", "WBANR71070CX96650", "KOVINSKI - ČRNA", "20.02.2012"
"VOLKSWAGEN", "PASSAT", "CEL593E", "WVWZZZ3BZ1P055873", "KOVINSKI - MODRA", "20.02.2012"
"SEAT", "LEON", "LJUA487", "VSSZZZ1PZ6R038426", "KOVINSKI - SIVA", "20.02.2012"
"RENAULT", "R5", "", "VF1C4070514130466", "NAVADEN - ZELENA", "20.02.2012"
"ŠKODA", "OCTAVIA COMBI", "LJ111PB", "TMBGP41UX32732874", "KOVINSKI - SIVA", "20.02.2012"
"PEUGEOT", "207", "MBMC754", "VF3WC8FSCAT017905", "KOVINSKI - SIVA", "18.02.2012"
"VOLKSWAGEN", "GOLF", "LJY173J", "WVWZZZ1KZ5P050572", "NAVADEN - ČRNA", "17.02.2012"
"RENAULT", "R5", "", "VF1B4010510640282", "NAVADEN - BELA", "17.02.2012"
"BMW", "OSTALI TIPI", "", "WBAVU11020K008214", "KOVINSKI - SIVA", "17.02.2012"
"BMW", "535", "CEZN974", "WBAPX910X0CU58105", "KOVINSKI - ČRNA", "16.02.2012"
"RENAULT", "R19", "MBZL958", "VF1B53A0512159445", "NAVADEN - RDEČA", "16.02.2012"
"VOLKSWAGEN", "CADDY", "LJKR723", "WV2ZZZ2KZ7X081428", "KOVINSKI - ZELENA", "16.02.2012"
"KRONE", "VSI TIPI", "HROEX231", "WK0S0002400043079", "NAVADEN - MODRA", "16.02.2012"
"CFMOTO", "X5", "MBSZ57", "LCELDTS6496001487", "KOVINSKI - SIVA", "15.02.2012"
"TOMOS", "A 35-1A", "LJET89", "004104", "KOVINSKI - MODRA", "15.02.2012"
"RENAULT", "R5", "", "VF1C4070511182949", "NAVADEN - RDEČA", "15.02.2012"
"GARELLI", "", "LJVN31", "1724023", "NAVADEN - BELA", "14.02.2012"
"AUDI", "A 3 SPORTBACK", "KPAC933", "WAUZZZ8P5AA021163", "NAVADEN - BELA", "14.02.2012"
"VOLKSWAGEN", "GOLF", "MBMV730", "WVWZZZ1KZBP034237", "NAVADEN - BELA", "14.02.2012"
"RENAULT", "MEGANE", "CEKN510", "VF1BZA30544144660", "KOVINSKI - SIVA", "14.02.2012"
"RENAULT", "MEGANE", "NME1429", "VF1BM0F0528538575", "KOVINSKI - ORANŽNA", "14.02.2012"
"MERCEDES BENZ", "ML 270 CDI", "", "WDC1631131X757057", "KOVINSKI - VIJOLIČNA", "14.02.2012"
"SCHMITZ", "VSI TIPI", "CEGT978", "WSM00000005084051", "NAVADEN - BELA", "14.02.2012"
"VOLVO", "VSI TIPI", "CEKC878", "YV2AG20A8AB560087", "NAVADEN - BELA", "14.02.2012"
"VOLKSWAGEN", "PASSAT", "LJMH647", "WVWZZZ3BZ1E152576", "KOVINSKI - SIVA", "13.02.2012"
"VOLKSWAGEN", "GOLF", "LJFJ694", "WVWZZZ1KZ8P138958", "KOVINSKI - ČRNA", "13.02.2012"
"RENAULT", "MEGANE GRANDTOUR", "LJJS638", "VF1KZ1G0644206959", "KOVINSKI - SIVA", "13.02.2012"
"VOLKSWAGEN", "GOLF", "LJ686VA", "WVWZZZ1KZ8P043863", "KOVINSKI - SIVA", "10.02.2012"
"BMW", "530", "DY977AV", "WBAPY71080CU14248", "NAVADEN - ČRNA", "10.02.2012"
"PEUGEOT", "", "0000", "VF3YCAMAC11244844", "NAVADEN - BELA", "09.02.2012"
"JEEP", "GRAND CHEROKEE", "LJNP169", "1J8HCE8M58Y133731", "KOVINSKI - SIVA", "09.02.2012"
"VOLKSWAGEN", "GOLF", "LJPP828", "WVWZZZ1KZ4P072393", "KOVINSKI - SIVA", "07.02.2012"
"RENAULT", "MEGANE GRANDTOUR", "LJMB542", "VF1KMK40641462909", "KOVINSKI - SIVA", "07.02.2012"
"VOLKSWAGEN", "TOUAREG", "LJSF374", "WVGZZZ7LZ9D015641", "KOVINSKI - SIVA", "06.02.2012"
"RENAULT", "KANGOO", "MBG110K", "VF1KC1EBF37706172", "KOVINSKI - SIVA", "06.02.2012"
"RENAULT", "CLIO", "LJKA822", "VF1BBCU0537825838", "KOVINSKI - SIVA", "06.02.2012"
"FORD", "FIESTA", "MBD311Z", "VS6AXXWPFAPJ14124", "NAVADEN - ČRNA", "06.02.2012"
"VOLKSWAGEN", "PASSAT", "LJSP607", "WVWZZZ3CZ9P038247", "KOVINSKI - SIVA", "03.02.2012"
"RENAULT", "MEGANE", "MBUH567", "VF1BZ1S0645265265", "NAVADEN - BELA", "03.02.2012"
"PONGRATZ", "VSI TIPI", "CEFH008", "U5GV250G2B1063282", "KOVINSKI - SIVA", "02.02.2012"
"PEUGEOT", "407", "KRRM897", "VF36DRHRH21731318", "KOVINSKI - SIVA", "01.02.2012"
"RENAULT", "CLIO", "LJHL176", "VF1BB2U0541653273", "KOVINSKI - ČRNA", "01.02.2012"
"PEUGEOT", "308 SW", "MBCA509", "VF34H5FWCAS043558", "KOVINSKI - SIVA", "01.02.2012"
"VOLKSWAGEN", "GOLF", "LJ274DB", "WVWZZZ1KZ8W548254", "KOVINSKI - ČRNA", "01.02.2012"
"SUZUKI", "BALENO", "", "JSAEGC11S00103265", "KOVINSKI - ZELENA", "31.01.2012"
"AUDI", "ALLROAD", "LJAC171", "WAUZZZ8K5BA078033", "KOVINSKI - MODRA", "30.01.2012"
"RENAULT", "CLIO", "LJFL951", "VF1CB05CF29829595", "KOVINSKI - MODRA", "30.01.2012"
"RENAULT", "MEGANE", "MBZP882", "VF1BZ1S0643807538", "NAVADEN - BELA", "30.01.2012"
"BMW", "VSI TIPI", "MBT620T", "WBAUG31030PU05156", "NAVADEN - ČRNA", "30.01.2012"
"VOLKSWAGEN", "GOLF", "LJDS203", "WVWZZZ1KZ6W123538", "NAVADEN - ČRNA", "26.01.2012"
"SEAT", "LEON", "LJKH675", "VSSZZZ1PZ6R101019", "KOVINSKI - SIVA", "26.01.2012"
"BMW", "320", "KPMR070", "WBAVU31030KY31407", "KOVINSKI - ČRNA", "26.01.2012"
"RENAULT", "MEGANE COUPE", "CEZD848", "VF1DZ0B0642200647", "KOVINSKI - ČRNA", "25.01.2012"
"RENAULT", "MASTER", "LJSKI04", "VF1JDS1DC44308865", "NAVADEN - BELA", "25.01.2012"
"OPEL", "MERIVA", "POFA518", "W0LSD9EC2B4206662", "KOVINSKI - RJAVA", "25.01.2012"
"SEAT", "CORDOBA", "0000", "VSSZZZ6KZZR146940", "NAVADEN - BELA", "25.01.2012"
"FIAT", "TIPO", "LJD800X", "ZFA16000005029565", "KOVINSKI - SIVA", "25.01.2012"
"ALFA ROMEO", "156", "LJ194RT", "ZAR93200001294107", "KOVINSKI - MODRA", "25.01.2012"
"VOLKSWAGEN", "", "KRDA916", "WV2ZZZ7HZAH203819", "NAVADEN - BELA", "24.01.2012"
"BMW", "", "KRKE404", "5UXFE43569L267793", "NAVADEN - BELA", "24.01.2012"
"RENAULT", "MEGANE", "MSH4559", "VF1CM1S0H36084386", "KOVINSKI - ČRNA", "24.01.2012"
"RENAULT", "CLIO", "", "VF1B5730506544493", "KOVINSKI - SIVA", "24.01.2012"
"VOLKSWAGEN", "PASSAT", "LJ777KE", "WVWZZZ3BZ3E140535", "KOVINSKI - SIVA", "24.01.2012"
"BMW", "730", "KPNT507", "WBAGM21020DR54655", "KOVINSKI - ČRNA", "23.01.2012"
"FIAT", "PUNTO", "LJUA839", "ZFA18800004183559", "NAVADEN - BELA", "23.01.2012"
"AUDI", "A 4", "KR1724G", "WAUZZZ8K79A028096", "NAVADEN - BELA", "23.01.2012"
"MERCEDES BENZ", "ACTROS", "LJY339T", "WDB9300051K905371", "NAVADEN - ORANŽNA", "23.01.2012"
"MERCEDES BENZ", "VSI TIPI", "LJ860VX", "WDB9302031L143302", "NAVADEN - ORANŽNA", "23.01.2012"
"RENAULT", "CLIO", "LJZ336Y", "VF1BBR8EF31942352", "KOVINSKI - ČRNA", "20.01.2012"
"HONDA", "CIVIC", "", "JHMED25200S301816", "", "20.01.2012"
"MERCEDES BENZ", "SL 350", "LJNH898", "WDB2304561F135431", "KOVINSKI - ČRNA", "19.01.2012"
"VOLKSWAGEN", "", "LJSS667", "WVWZZZ1KZ8P051243", "KOVINSKI - SIVA", "19.01.2012"
"BMW", "X5 M", "LJ638RD", "WBAFF41030L056492", "KOVINSKI - RJAVA", "18.01.2012"
"RENAULT", "CLIO", "LJ495NN", "VF1CBR8EF31907609", "KOVINSKI - SIVA", "18.01.2012"
"AUDI", "A 6", "LJ936KT", "WAUZZZ4F25N124567", "NAVADEN - ČRNA", "17.01.2012"
"VOLKSWAGEN", "TRANSPORTER", "LJAK377", "WV1ZZZ7HZ5H029319", "NAVADEN - BELA", "17.01.2012"
"OPEL", "VIVARO", "00000", "W0LF7AHAH8V606986", "NAVADEN - BELA", "17.01.2012"
"HYUNDAI", "ACCENT", "LJR761D", "KMHVA21LPWU375436", "NAVADEN - RDEČA", "17.01.2012"
"BMW", "X6", "CERM365", "WBAFG01040LC30465", "KOVINSKI - ČRNA", "17.01.2012"
"AUDI", "RS 4", "CEKU673", "WUAZZZ8E26N900852", "KOVINSKI - ČRNA", "17.01.2012"
"TPV", "VSI TIPI", "", "ZY260A80000001631", "KOVINSKI - SIVA", "17.01.2012"
"IVECO", "EUROCARGO ML 100", "CE2365J", "ZCFA1AA0002257552", "NAVADEN - BELA", "16.01.2012"
"RENAULT", "CLIO", "", "VF1357K0F16666631", "NAVADEN - RDEČA", "16.01.2012"
"RENAULT", "MEGANE", "LJLK046", "VF1BZ0A0543264454", "KOVINSKI - SIVA", "16.01.2012"
"VOLKSWAGEN", "GOLF", "LJDF403", "WVWZZZ1KZ9W080412", "NAVADEN - BELA", "16.01.2012"
"TAM", "80", "MBHU055", "870005837", "NAVADEN - ORANŽNA", "16.01.2012"
"RENAULT", "ESPACE", "CEGT812", "VF1JK0HA631046860", "KOVINSKI - ČRNA", "16.01.2012"
"VOLKSWAGEN", "GOLF", "LJFZ602", "WVWZZZ1JZYW542836", "KOVINSKI - SIVA", "16.01.2012"
"PIAGGIO", "CIAO", "", "00000000000000000", "KOVINSKI - SIVA", "16.01.2012"
"FLIEGL", "VSI TIPI", "", "WFDFLT34781000611", "NAVADEN - RDEČA", "15.01.2012"
"RENAULT", "R5", "", "VF1C4070514776283", "KOVINSKI - MODRA", "13.01.2012"
"OPEL", "ASTRA", "", "W0L000056R5054051", "KOVINSKI - RDEČA", "13.01.2012"
"RENAULT", "LAGUNA", "", "VF1B560K515351295", "KOVINSKI - MODRA", "13.01.2012"
"VOLKSWAGEN", "TRANSPORTER", "LJFZ209", "WV2ZZZ7HZ5H023862", "NAVADEN - BELA", "12.01.2012"
"ŠKODA", "FORMAN", "", "TMBCEG300R0898604", "NAVADEN - RDEČA", "11.01.2012"
"VOLKSWAGEN", "PASSAT", "NMC6069", "WVWZZZ3BZ3E171330", "KOVINSKI - MODRA", "10.01.2012"
"BMW", "", "LJKL664", "WBANC71080B623906", "KOVINSKI - SIVA", "10.01.2012"
"OPEL", "VSI TIPI", "GONL868", "W0LJ7CJASBV648209", "KOVINSKI - ČRNA", "10.01.2012"
"RENAULT", "MEGANE", "LJPP546", "VF1BZ1G0643702928", "KOVINSKI - SIVA", "09.01.2012"
"RENAULT", "MEGANE", "", "VF1BA0F0G17194571", "NAVADEN - RDEČA", "09.01.2012"
"OPEL", "", "MBFP074", "W0LJ7CHA68V630380", "KOVINSKI - SIVA", "09.01.2012"
"OPEL", "", "KRDM522", "W0LJ7CHA67V656113", "KOVINSKI - ČRNA", "09.01.2012"
"VOLKSWAGEN", "NEW BEETLE", "MBDM789", "WVWZZZ9CZ6M508384", "NAVADEN - RDEČA", "09.01.2012"
"ŠKODA", "OCTAVIA", "LJGJ189", "TMBBS21Z382154410", "KOVINSKI - SIVA", "09.01.2012"
"PONGRATZ", "VSI TIPI", "0000", "VAPB0000000219716", "", "07.01.2012"
"PONGRATZ", "VSI TIPI", "0000", "VAPB0000000219715", "", "07.01.2012"
"RENAULT", "CLIO", "NMF5040", "VF1BBR8EF32759061", "KOVINSKI - SIVA", "06.01.2012"
"RENAULT", "MEGANE GRANDTOUR", "LJAC796", "VF1KMSFB540126586", "KOVINSKI - SIVA", "06.01.2012"
"ŠKODA", "ROOMSTER", "LJ453KX", "TMBMG25JX85070825", "NAVADEN - BELA", "06.01.2012"
"MERCEDES BENZ", "", "LJ469RL", "WDB9340321K823588", "NAVADEN - RDEČA", "05.01.2012"
"VOLKSWAGEN", "GOLF", "NM1266T", "WVWZZZ1GZMW393027", "NAVADEN - RDEČA", "05.01.2012"
"BMW", "320", "LJMU134", "WBAUX31000A217536", "KOVINSKI - SIVA", "05.01.2012"
"AUDI", "A 4", "LJUS895", "WAUZZZ8E54A018573", "KOVINSKI - ČRNA", "05.01.2012"
"RENAULT", "CLIO", "LJ624KU", "VF1CB1KEF37300147", "NAVADEN - BELA", "04.01.2012"
"SCHMITZ", "VSI TIPI", "SGARNE01", "WSM00000003124480", "NAVADEN - SIVA", "04.01.2012"
"CITROEN", "JUMPER", "LJ800ST", "VF7YCBMFB11163782", "NAVADEN - BELA", "04.01.2012"
"PEUGEOT", "BOXER", "KP1094T", "VF3YCBMFC11111280", "NAVADEN - BELA", "04.01.2012"
"HYUNDAI", "LANTRA", "LJNJ809", "KMHJF31RPXU831733", "KOVINSKI - SIVA", "03.01.2012"
"BERGER", "", "LJMN841", "VA9USLAKT6FZT0446", "NAVADEN - RDEČA", "03.01.2012"
"IVECO", "VSI TIPI", "LJDV434", "WJMM1VTH404354448", "NAVADEN - RDEČA", "03.01.2012"
"VOLKSWAGEN", "PASSAT", "MBUJ031", "WVWZZZ3BZ4P207011", "KOVINSKI - ČRNA", "03.01.2012"
"RENAULT", "MEGANE", "057K539", "VF1BMSF0537770032", "NAVADEN - BELA", "03.01.2012"
"RENAULT", "OSTALI TIPI", "MSCN487", "VF1JLCHA69Y307500", "KOVINSKI - SIVA", "03.01.2012"
"BMW", "645", "GOV1414", "WBAEH71090B292187", "KOVINSKI - ČRNA", "03.01.2012"
"PEUGEOT", "BOXER", "LJUM524", "VF3YABMPA11696303", "NAVADEN - BELA", "03.01.2012"
"VOLKSWAGEN", "GOLF", "LJK034S", "WVWZZZ1KZ4W069168", "KOVINSKI - MODRA", "30.12.2011"
"VOLKSWAGEN", "GOLF", "NMR4483", "WVWZZZ1HZRB117527", "KOVINSKI - MODRA", "30.12.2011"
"RENAULT", "MEGANE", "MB6334N", "VF1BMR20531484850", "KOVINSKI - SIVA", "30.12.2011"
"BMW", "330", "LJTM609", "WBAVB13566KR62777", "NAVADEN - ČRNA", "30.12.2011"
"VOLKSWAGEN", "GOLF", "LJBJ432", "WVWZZZ1KZ6B154995", "KOVINSKI - SIVA", "30.12.2011"
"FORD", "TRANSIT", "LJGN442", "WF0XXXTTFX7S21011", "NAVADEN - BELA", "29.12.2011"
"FORD", "MONDEO", "", "WF0AXXGBBATY39488", "KOVINSKI - RDEČA", "28.12.2011"
"BMW", "120", "", "WBAUB51090VJ02209", "KOVINSKI - ČRNA", "28.12.2011"
"BMW", "530", "KPL3882", "WBANC71020B637834", "KOVINSKI - MODRA", "28.12.2011"
"VOLKSWAGEN", "PASSAT", "AA860YY", "WVWZZZ3CZ9E124321", "SREBRNA", "27.12.2011"
